	sql	nest_level	sub_statements
0	select count (*) from singer	0	0
1	select count (*) from singer	0	0
2	select name , country , age from singer order by age desc	0	0
3	select name , country , age from singer order by age desc	0	0
4	select avg (age) , min (age) , max (age) from singer where country = 'france'	0	0
5	select avg (age) , min (age) , max (age) from singer where country = 'france'	0	0
6	select song_name , song_release_year from singer order by age limit 1	0	0
7	select song_name , song_release_year from singer order by age limit 1	0	0
8	select distinct country from singer where age > 20	0	0
9	select distinct country from singer where age > 20	0	0
10	select country , count (*) from singer group by country	0	0
11	select country , count (*) from singer group by country	0	0
12	select song_name from singer where age > (select avg (age) from singer) 	0	0
13	select song_name from singer where age > (select avg (age) from singer) 	0	0
14	select location , name from stadium where capacity between 5000 and 10000	0	0
15	select location , name from stadium where capacity between 5000 and 10000	0	0
16	select max (capacity) , average from stadium	0	0
17	select avg (capacity) , max (capacity) from stadium	0	0
18	select name , capacity from stadium order by average desc limit 1	0	0
19	select name , capacity from stadium order by average desc limit 1	0	0
20	select count (*) from concert where year = 2014 or year = 2015	0	0
21	select count (*) from concert where year = 2014 or year = 2015	0	0
22	select t2.name , count (*) from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id group by t1.stadium_id	0	0
23	select t2.name , count (*) from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id group by t1.stadium_id	0	0
24	select t2.name , t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id where t1.year >= 2014 group by t2.stadium_id order by count (*) desc limit 1	0	0
25	select t2.name , t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id where t1.year > 2013 group by t2.stadium_id order by count (*) desc limit 1	0	0
26	select year from concert group by year order by count (*) desc limit 1	0	0
27	select year from concert group by year order by count (*) desc limit 1	0	0
28	select name from stadium where stadium_id not in (select stadium_id from concert) 	0	0
29	select name from stadium where stadium_id not in (select stadium_id from concert) 	0	0
30	intersect	0	2
31	except	0	2
32	except	0	2
33	select t2.concert_name , t2.theme , count (*) from singer_in_concert as t1 join concert as t2 on t1.concert_id = t2.concert_id group by t2.concert_id	0	0
34	select t2.concert_name , t2.theme , count (*) from singer_in_concert as t1 join concert as t2 on t1.concert_id = t2.concert_id group by t2.concert_id	0	0
35	select t2.name , count (*) from singer_in_concert as t1 join singer as t2 on t1.singer_id = t2.singer_id group by t2.singer_id	0	0
36	select t2.name , count (*) from singer_in_concert as t1 join singer as t2 on t1.singer_id = t2.singer_id group by t2.singer_id	0	0
37	select t2.name from singer_in_concert as t1 join singer as t2 on t1.singer_id = t2.singer_id join concert as t3 on t1.concert_id = t3.concert_id where t3.year = 2014	0	0
38	select t2.name from singer_in_concert as t1 join singer as t2 on t1.singer_id = t2.singer_id join concert as t3 on t1.concert_id = t3.concert_id where t3.year = 2014	0	0
39	select name , country from singer where song_name like '%hey%'	0	0
40	select name , country from singer where song_name like '%hey%'	0	0
41	intersect	0	2
42	intersect	0	2
43	select count (*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1) 	0	0
44	select count (*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1) 	0	0
45	select count (*) from pets where weight > 10	0	0
46	select count (*) from pets where weight > 10	0	0
47	select weight from pets order by pet_age limit 1	0	0
48	select weight from pets order by pet_age limit 1	0	0
49	select max (weight) , pettype from pets group by pettype	0	0
50	select max (weight) , pettype from pets group by pettype	0	0
51	select count (*) from student as t1 join has_pet as t2 on t1.stuid = t2.stuid where t1.age > 20	0	0
52	select count (*) from student as t1 join has_pet as t2 on t1.stuid = t2.stuid where t1.age > 20	0	0
53	select count (*) from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t2.petid = t3.petid where t1.sex = 'f' and t3.pettype = 'dog'	0	0
54	select count (*) from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t2.petid = t3.petid where t1.sex = 'f' and t3.pettype = 'dog'	0	0
55	select count (distinct pettype) from pets	0	0
56	select count (distinct pettype) from pets	0	0
57	select distinct t1.fname from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t3.petid = t2.petid where t3.pettype = 'cat' or t3.pettype = 'dog'	0	0
58	select distinct t1.fname from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t3.petid = t2.petid where t3.pettype = 'cat' or t3.pettype = 'dog'	0	0
59	intersect	0	2
60	intersect	0	2
61	select major , age from student where stuid not in (select t1.stuid from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t3.petid = t2.petid where t3.pettype = 'cat') 	0	0
62	select major , age from student where stuid not in (select t1.stuid from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t3.petid = t2.petid where t3.pettype = 'cat') 	0	0
63	except	0	2
64	except	0	2
65	select t1.fname , t1.age from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t3.petid = t2.petid where t3.pettype = 'dog' and t1.stuid not in (select t1.stuid from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t3.petid = t2.petid where t3.pettype = 'cat') 	0	0
66	select t1.fname , t1.age from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t3.petid = t2.petid where t3.pettype = 'dog' and t1.stuid not in (select t1.stuid from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t3.petid = t2.petid where t3.pettype = 'cat') 	0	0
67	select pettype , weight from pets order by pet_age limit 1	0	0
68	select pettype , weight from pets order by pet_age limit 1	0	0
69	select petid , weight from pets where pet_age > 1	0	0
70	select petid , weight from pets where pet_age > 1	0	0
71	select avg (pet_age) , max (pet_age) , pettype from pets group by pettype	0	0
72	select avg (pet_age) , max (pet_age) , pettype from pets group by pettype	0	0
73	select avg (weight) , pettype from pets group by pettype	0	0
74	select avg (weight) , pettype from pets group by pettype	0	0
75	select distinct t1.fname , t1.age from student as t1 join has_pet as t2 on t1.stuid = t2.stuid	0	0
76	select distinct t1.fname , t1.age from student as t1 join has_pet as t2 on t1.stuid = t2.stuid	0	0
77	select t2.petid from student as t1 join has_pet as t2 on t1.stuid = t2.stuid where t1.lname = 'smith'	0	0
78	select t2.petid from student as t1 join has_pet as t2 on t1.stuid = t2.stuid where t1.lname = 'smith'	0	0
79	select count (*) , t1.stuid from student as t1 join has_pet as t2 on t1.stuid = t2.stuid group by t1.stuid	0	0
80	select count (*) , t1.stuid from student as t1 join has_pet as t2 on t1.stuid = t2.stuid group by t1.stuid	0	0
